scope,weighting,a,b,a_less_pct,ties_pct,a_greater_pct,a_auc
India,person_weight,Brahmin,SC,36.78634401059755,0.027134878302597705,63.18652111109986,0.6320008855025115
India,person_weight,Brahmin,ST,30.814303824565748,0.018727373560329157,69.16696880187394,0.6917633248865409
India,person_weight,Brahmin,Others,47.60875708465376,0.03326977640577097,52.35797313894047,0.5237460802714335
India,person_weight,Forward/General,Brahmin,51.903830330666466,0.03769475287300533,48.05847491646054,0.4807732229289704
India,person_weight,Forward/General,Forward/General,49.96800122360513,0.0639975527892349,49.96800122360565,0.5000000000000027
India,person_weight,Forward/General,OBC,40.068609262221116,0.035214545884690904,59.8961761918942,0.5991378346483655
India,person_weight,Forward/General,SC,38.29952777543533,0.03236214708585232,61.66811007747882,0.6168429115102175
India,person_weight,Forward/General,ST,31.8502202518953,0.02186744368740356,68.12791230441731,0.68138846026261
India,person_weight,Forward/General,Others,49.49837435053638,0.038681647756673605,50.46294400170696,0.5048228482558529
India,person_weight,OBC,Brahmin,61.44588949686782,0.030566261992366877,38.52354424113982,0.38538827372136003
India,person_weight,OBC,Forward/General,59.89617619189451,0.03521454588469306,40.068609262220804,0.40086216535163144
India,person_weight,OBC,OBC,49.97746725582903,0.045065488342552855,49.977467255828415,0.49999999999999695
India,person_weight,OBC,SC,48.55052699300007,0.029126228978289464,51.42034677802164,0.5143490989251078
India,person_weight,OBC,ST,40.613885149935044,0.020639745529803983,59.36547510453515,0.5937579497730004
India,person_weight,OBC,Others,59.10966340801592,0.03293004229609976,40.85740654968798,0.4087387157083603
India,person_weight,SC,Brahmin,63.186521111099395,0.027134878302597337,36.78634401059801,0.367999114497493
India,person_weight,SC,Forward/General,61.668110077478325,0.032362147085851785,38.29952777543581,0.3831570884897874
India,person_weight,SC,OBC,51.42034677802163,0.029126228978287545,48.55052699300008,0.48565090107489217
India,person_weight,SC,SC,49.973788326361856,0.0524233472757855,49.973788326362346,0.5000000000000023
India,person_weight,SC,ST,41.47011445078179,0.02017336077219994,58.509712188445995,0.585197988688321
India,person_weight,SC,Others,60.85209746835528,0.03096824305504315,39.11693428858967,0.39132418410117187
