outcome,group,value,percent
owned_land_acres,Others,1.87,71.5978732468038
owned_land_acres,Others,1.88,71.6711490149664
owned_land_acres,Others,1.89,71.7769675964248
owned_land_acres,Others,1.9,71.83794400216881
owned_land_acres,Others,1.91,71.90886098042883
owned_land_acres,Others,1.92,72.01173608124806
owned_land_acres,Others,1.93,72.0941697909659
owned_land_acres,Others,1.94,72.13511059243902
owned_land_acres,Others,1.95,72.1651321243916
owned_land_acres,Others,1.96,72.1871510666831
owned_land_acres,Others,1.97,72.19724071686285
owned_land_acres,Others,1.98,72.27799208193227
owned_land_acres,Others,1.99,72.32269497926896
owned_land_acres,Others,2.0,72.81378684414015
owned_land_acres,Others,2.01,73.29544250521477
owned_land_acres,Others,2.02,74.12586760968045
owned_land_acres,Others,2.03,74.630182245653
owned_land_acres,Others,2.04,75.11205421391976
owned_land_acres,Others,2.05,75.38602091405487
owned_land_acres,Others,2.06,75.65500438270017
owned_land_acres,Others,2.07,75.76757582355536
owned_land_acres,Others,2.08,75.87410206875853
owned_land_acres,Others,2.09,75.9097152447065
owned_land_acres,Others,2.1,76.09754091887581
owned_land_acres,Others,2.11,76.12463602523086
owned_land_acres,Others,2.12,76.27185980329128
owned_land_acres,Others,2.13,76.31827444313465
owned_land_acres,Others,2.14,76.36988064300621
owned_land_acres,Others,2.15,76.4085506875075
owned_land_acres,Others,2.16,76.44810371194292
owned_land_acres,Others,2.17,76.47544599591863
owned_land_acres,Others,2.18,76.54805268167867
owned_land_acres,Others,2.19,76.58449713695575
owned_land_acres,Others,2.2,76.65467582200843
owned_land_acres,Others,2.21,76.72035601894467
owned_land_acres,Others,2.22,76.77680143292929
owned_land_acres,Others,2.23,76.79825739820284
owned_land_acres,Others,2.24,76.91707119848809
owned_land_acres,Others,2.25,77.00962893620904
owned_land_acres,Others,2.26,77.04712322702382
owned_land_acres,Others,2.27,77.17862351507611
owned_land_acres,Others,2.28,77.33085462123144
owned_land_acres,Others,2.29,77.35426067121047
owned_land_acres,Others,2.3,77.4237646513194
owned_land_acres,Others,2.31,77.49135228197005
owned_land_acres,Others,2.32,77.5147748247366
owned_land_acres,Others,2.33,77.5769202103437
owned_land_acres,Others,2.34,77.66679372012273
owned_land_acres,Others,2.35,77.80411036640028
owned_land_acres,Others,2.36,77.88905280045265
owned_land_acres,Others,2.37,77.93982346392818
owned_land_acres,Others,2.38,78.00740306237711
owned_land_acres,Others,2.39,78.06558324451335
owned_land_acres,Others,2.4,78.17220536743096
owned_land_acres,Others,2.41,78.31024501895855
owned_land_acres,Others,2.42,78.44638789282602
owned_land_acres,Others,2.43,78.56280105543777
owned_land_acres,Others,2.44,78.69751012775174
owned_land_acres,Others,2.45,78.77261311470765
owned_land_acres,Others,2.46,78.93071763449443
owned_land_acres,Others,2.47,79.04733971467269
owned_land_acres,Others,2.48,79.12782237582081
owned_land_acres,Others,2.49,79.15852212011191
owned_land_acres,Others,2.5,79.30268769091873
owned_land_acres,Others,2.51,79.4937210783895
owned_land_acres,Others,2.52,79.79416595824016
owned_land_acres,Others,2.53,80.01178620111573
owned_land_acres,Others,2.54,80.23208828904667
owned_land_acres,Others,2.55,80.28473388259367
owned_land_acres,Others,2.56,80.35793430870422
owned_land_acres,Others,2.57,80.38829150636631
owned_land_acres,Others,2.58,80.502934960749
owned_land_acres,Others,2.59,80.55210577028764
owned_land_acres,Others,2.6,80.64123967493308
owned_land_acres,Others,2.61,80.68787153228475
owned_land_acres,Others,2.62,80.74585546095916
owned_land_acres,Others,2.63,80.8458672960603
owned_land_acres,Others,2.64,80.91454109457437
owned_land_acres,Others,2.65,80.95078260288822
owned_land_acres,Others,2.66,80.97405783507541
owned_land_acres,Others,2.67,81.02322160305057
owned_land_acres,Others,2.68,81.04498846807834
owned_land_acres,Others,2.69,81.06494575838258
owned_land_acres,Others,2.7,81.11909953167094
owned_land_acres,Others,2.71,81.16881875316842
owned_land_acres,Others,2.72,81.19364106772724
owned_land_acres,Others,2.73,81.28077372254226
owned_land_acres,Others,2.74,81.29533680036918
owned_land_acres,Others,2.75,81.33810648062396
owned_land_acres,Others,2.76,81.37780777950296
owned_land_acres,Others,2.77,81.40478360766262
owned_land_acres,Others,2.78,81.42987687515915
owned_land_acres,Others,2.79,81.44810662629331
owned_land_acres,Others,2.8,81.465409541672
owned_land_acres,Others,2.81,81.54780442908157
owned_land_acres,Others,2.82,81.63720786764245
owned_land_acres,Others,2.83,81.70290546768241
owned_land_acres,Others,2.84,81.77273737581324
owned_land_acres,Others,2.85,81.80738923108639
owned_land_acres,Others,2.86,81.82742823565603
owned_land_acres,Others,2.87,81.84465966443946
